titulo,subtitulo,link
TRANSFER NEWS LIVE,"All the latest as Haaland, Pogba, De Jong and Mbappe set to move in bumper big-money summer deals",https://www.thesun.co.uk/sport/18505363/declan-rice-haaland-man-city-lewandowski-barcelona-transfer-news-live/
MOVES LIKE RIO,Ferdinand mocked for hilarious dad-dancing with TikTok star in viral video,https://www.thesun.co.uk/sport/18548351/rio-ferdinand-dancing-tiktok-noah-beck-man-utd/
'I LISTEN TO HIM COMPLAIN A LOT',Conte launches incredible attack on Arteta after Spurs win,https://www.thesun.co.uk/sport/18553114/antonio-conte-attack-mikel-arteta-interview-tottenham-arsenal/
SPURRED ON KERR,"We respect City but we’re more pumped than we were last weekend, says Kerr",https://www.thesun.co.uk/sport/18556887/sam-kerr-chelsea-fa-cup/
'I KNEW IT',Kane says England training with Ramsdale helped him score penalty vs Arsenal,https://www.thesun.co.uk/sport/football/18552678/harry-kane-penalty-tottenham-3-0-ramsdale-england-arsenal/
MAC BACK,McClaren set for Man Utd return after showdown talks with Ten Hag and club chiefs,https://www.thesun.co.uk/sport/18549685/steve-mcclaren-man-utd-return-ten-hag/
GOALIE SETBACK,Andy Goram 'rushed to hospital with severe stomach pains' amid cancer fight,https://www.thesun.co.uk/sport/football/18553941/rangers-goram-rushed-hospital-severe-pains-cancer/
FINAL COUNTDOWN,Mateo Kovacic winning race to be fit for FA Cup final in huge Chelsea boost,https://www.thesun.co.uk/sport/18548516/kovacic-chelsea-fa-cup-final/
HAMMER BLOW,Man Utd joined by West Ham in Kalvin Phillips and Ward-Prowse transfer battle,https://www.thesun.co.uk/sport/football/18545613/man-utd-west-ham-kalvin-phillips-ward-prowse-transfer/
SERG IN STONE,Man City put Aguero statue at Etihad to mark 10th anniversary of iconic goal,https://www.thesun.co.uk/sport/18554576/man-city-sergio-aguero-statue-tenth-anniversary-goal/
GIFT OF THE GAB,Arsenal handed Gabriel Jesus boost agent confirms striker wants Prem stay,https://www.thesun.co.uk/sport/18547884/arsenal-transfer-news-gabriel-jesus/
LEWAND-OFFSKI,Lewandowski transfer scramble as he 'tells Bayern he will NOT sign new deal',https://www.thesun.co.uk/sport/football/18551940/robert-lewandowski-bayern-munich-barcelona-contract-transfer/
AL IN,Arsenal and Tottenham in NINE-club transfer battle for 'next Lautaro Martinez',https://www.thesun.co.uk/sport/18554183/arsenal-tottenham-lautaro-martinez-charly-alcaraz/
GER KIDDING?,Steven Gerrard 'in Ibrox transfer raid' as he eyes move for Europa League star,https://www.thesun.co.uk/sport/football/18553957/steven-gerrard-rangers-transfer-aston-villa-europa-league/
KIDS ARE ALRIGHT,Maguire and Fergie at SELL-OUT Old Trafford as Man Utd U18s FINALLY bring some cheer with FA Youth Cup win,https://www.thesun.co.uk/sport/18537948/man-utd-fa-youth-cup-harry-maguire-old-trafford/
SON OF A GUN,Spurs fans love Emerson Royal as he celebrates with flare on pitch vs Arsenal,https://www.thesun.co.uk/sport/football/18551746/tottenham-arsenal-emerson-royal-flare-celebration/
COUT PRICE,Coutinho agreed 70 PER CENT wage cut for Aston Villa transfer from Barcelona,https://www.thesun.co.uk/sport/18552184/coutinho-70-wage-cut-barcelona/
PHILL YER BOOTS,Liverpool star Phillips to join Bournemouth in £8m transfer after promotion,https://www.thesun.co.uk/sport/18554138/liverpool-nathaniel-phillips-bournemouth-transfer/
READ DEVILS,Ten Hag reveals his thorough check on Man Utd before taking 'difficult' job,https://www.thesun.co.uk/sport/18550801/ten-hag-challenge-man-united/
QUAD THREAT,Ten Hag identifies four Man Utd transfers as he plans major summer overhaul,https://www.thesun.co.uk/sport/18551513/ten-hag-transfer-targets-united/
COUR BLIMEY,Real Madrid star Thibaut Courtois' model girlfriend Mishel Gerzig shows off incredible figure in lingerie on catwalk,https://www.thesun.co.uk/sport/football/18534958/real-madrid-thibaut-courtois-girlfriend-mishel-gerzig-catwalk-lingerie/
OOH AAH CAN'T SEE YA,Cantona's infamous 'invisible' grey Man U shirt set to sell for £12k,https://www.thesun.co.uk/sport/18551563/eric-cantona-manchester-united-invisible-shirt/
DEL BOY,Southampton interested in taking Man City starlet Liam Delap on loan transfer,https://www.thesun.co.uk/sport/football/18546669/southampton-liam-delap-loan-transfer-man-city/
JESS DO IT,Man Utd ace Jesse Lingard set for Serie A move with four giants keen,https://www.thesun.co.uk/sport/18553997/jesse-lingard-serie-a-manchester-united-premier-league/
CAL ME MAYBE,Arsenal 'will turn attention to Calvert-Lewin if Jesus deal can't be struck',https://www.thesun.co.uk/sport/football/18550176/arsenal-dominic-calvert-lewin-gabriel-jesus-transfer-everton-city/
AT HOME IN ROME,Abraham hints at Roma stay amid Arsenal interest as he poses in new kit,https://www.thesun.co.uk/sport/18546022/abraham-roma-arsenal-transfer/
